,language1,language2,distance
517,Afar,Nayi,82.9
518,Afar,Nenets,94.4
519,Afar,Nepali,88.0
520,Afar,Norwegian(bokmal),89.0
521,Afar,Norwegian(nynorsk),89.0
522,Afar,Oriya,88.0
523,Afar,Oromo,64.1
524,Afar,Oroqen,97.4
525,Afar,Pashto,95.4
526,Afar,Pennsylvania_Dutch,92.3
527,Afar,Persian,88.9
528,Afar,Polish,95.0
529,Afar,Portuguese,93.5
530,Afar,Provencal,93.5
531,Afar,Punjabi,76.2
532,Afar,Romanian,87.5
533,Afar,Romansch,93.5
534,Afar,Russian,94.4
535,Afar,Sami,86.5
536,Afar,Samoan,82.1
537,Afar,Sardinian_L,90.6
538,Afar,Sardinian_N,90.6
539,Afar,Sariqoli,86.0
540,Afar,Schwyzerduetsch,89.3
541,Afar,Scots_(Scottish_English),90.2
542,Afar,Scottish_Gaelic,89.1
543,Afar,Serbian,94.4
544,Afar,Shan,92.6
545,Afar,Sheko,85.1
546,Afar,Sindhi,87.0
547,Afar,Sinhalese,89.3
548,Afar,Slovak,94.4
549,Afar,Slovene,94.4
550,Afar,Somali,59.6
551,Afar,Spanish,93.5
552,Afar,Sranan,95.1
553,Afar,Swahili,100.0
554,Afar,Swedish,88.6
555,Afar,Tagalog,82.7
556,Afar,Tahitian,89.5
557,Afar,Tajik,87.0
558,Afar,Tamasheq,88.9
559,Afar,Tamil,85.9
560,Afar,Tashelhit,81.6
561,Afar,Tatar,89.5
562,Afar,Tausug,89.5
563,Afar,Telugu,94.6
564,Afar,Thai,89.8
565,Afar,Tibetan,79.3
566,Afar,Tigrigna,86.4
567,Afar,Tmazight_(Riffian_Berber),74.7
568,Afar,Tsakonian,95.5
569,Afar,Turkish,91.7
570,Afar,Turkmen,91.7
571,Afar,Tuvan,88.2
572,Afar,Ukrainian,94.4
573,Afar,Urdu,80.6
574,Afar,Uyghur,91.8
575,Afar,Uzbek,89.5
576,Afar,Veps,84.5
577,Afar,Vietnamese,86.1
578,Afar,Vlach,87.5
579,Afar,Wakhi,90.6
580,Afar,Walloon,93.5
581,Afar,Warji,84.9
582,Afar,Waziri,95.7
583,Afar,Welsh,87.3
584,Afar,Wolof,92.3
585,Afar,Yakut,92.6
586,Afar,Yiddish,95.6
587,Afar,Yoruba,81.1
588,Afar,Yupik,88.3
589,Afar,Zazaki,87.4
590,Afar,Zulu,89.6
591,Afrikaans,Afrikaans,0.0
592,Afrikaans,Ainu,84.7
593,Afrikaans,Albanian_(Gheg),79.0
594,Afrikaans,Albanian_(Tosk),87.3
595,Afrikaans,Aleut,87.2
596,Afrikaans,Altai,89.6
597,Afrikaans,Amharic,89.2
598,Afrikaans,Arabic,84.7
599,Afrikaans,Aramaic_(Syriac),89.8
600,Afrikaans,Arbanaski,82.7
601,Afrikaans,Armenian,87.7
602,Afrikaans,Armenian_(Eastern),87.7
603,Afrikaans,Assamese,73.3
604,Afrikaans,Avar,97.2
605,Afrikaans,Azeri,96.5
606,Afrikaans,Balochi,79.7
607,Afrikaans,Basaa,96.9
608,Afrikaans,Bashkir,94.5
609,Afrikaans,Basque,97.2
610,Afrikaans,Belarusian,70.2
